type,name,dod,win,max,timespan,num
1,天使鱼,20,50,6,0,1
2,鲨鱼,3,300,1,10,0
3,蝙蝠鱼,10,100,2,7,0
4,狮子鱼,12,80,5,0,0
5,扯旗鱼,100,1,10,0,1
6,海龟,14,70,3,5,0
7,河豚,25,40,3,2,0
8,剑鱼,5,200,3,3,0
9,金枪鱼,100,10,6,3,1
10,小丑鱼,75,15,6,0,1
11,鲂鱼,25,50,6,0,1
12,小黄鱼,100,5,6,0,1
13,电鳗,11,90,3,5,0
14,变异剑鱼,6,150,3,3,0
15,寄居蟹,2,500,1,5,0
16,鲶鱼,16,60,3,3,0
17,灯笼鱼,8,120,3,3,0
90,漂流瓶,20,0,1,5,0
91,爆炸河豚,10,50,2,10,0
98,水元素,1,1000,1,60,0
99,娜迦海妖,1,1000,1,60,0
102,黄金鲨鱼,1.6,600,1,10,0
103,黄金蝙蝠鱼,5,200,1,7,0
104,黄金狮子鱼,6.25,160,1,0,0
106,黄金海龟,7.14,140,1,5,0
107,黄金河豚,12.5,80,1,0,0
108,黄金剑鱼,2.5,400,1,2,0
113,黄金电鳗,5.5,180,3,3,0
117,黄金灯笼鱼,4.16,240,3,3,0
